"cc_iso3c","dqa_cap_dqi","dqa_crm_dqi","dqa_dig_dqi","dqa_ffm_dqi","dqa_hrm_dqi","dqa_inc_dqi","dqa_int_dqi","dqa_opn_dqi","dqa_pol_dqi","dqa_pro_dqi","dqa_reg_dqi","dqa_tax_dqi","dqa_overall","dqa_fimp","dqa_avl_smpl"
"LTU",0.3333333333333333,0.34534188099188035,0.5811965811965811,0.4388888888888889,0.6728395061728395,0.7222222284722224,0.46307189642483665,0.2833333354166667,1,0.7222222222222222,0.962962962962963,0.8518518518518519,0.6147720573278571,0,0.8189655172413793
"LUX",0,0.34534188099188035,0.5811965811965811,0.7203703703703703,0.38024691358024687,0,0.12132352966176471,0.2833333354166667,1,0.2777777777777778,0.962962962962963,0.8518518518518519,0.46036710031750855,2,0.5086206896551724
"LVA",0,0.34534188099188035,0.5811965811965811,0.5981481481481482,0.6728395061728395,0.7222222284722224,0.5290849683202614,0.5500000030833334,1,0.7222222222222222,0.962962962962963,0.8518518518518519,0.6279891961185253,1,0.75
"MAC",0,0,0,0.3037037037037037,0,0,0,0,0,0,0,0,0.025308641975308643,11,0.017241379310344827
"MAF",0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"MAR",0,0.5093589757089744,0,0.6074074074074074,0.29259259259259257,0.3750000031250001,0.42263071995424834,0.5750000024166667,0,0,0,0.4722222222222222,0.2711843269522593,5,0.3620689655172414
"MCO",0,0,0,0.3037037037037037,0,0,0,0.10833333437500002,0,0,0,0,0.034336419839891975,10,0.02586206896551724
"MDA",0,0,0,0.6074074074074074,0.29259259259259257,0.3750000031250001,0.42263071995424834,0.5750000024166667,0,0,0,0.21296296296296297,0.2071328073715732,6,0.27586206896551724
"MDG",0,0.5093589757089744,0,0.6074074074074074,0.29259259259259257,0.3750000031250001,0.42263071995424834,0.48611111319444444,0,0,0,0.21296296296296297,0.24217198124546918,5,0.33620689655172414
"MDV",0,0,0,0.3037037037037037,0,0,0,0.10833333437500002,0,0,0,0.21296296296296297,0.05208333342013889,9,0.034482758620689655
"MEX",0,0.8547008567008547,0,0.8888888888888888,0.6728395061728395,0.7222222284722224,0.5686274519803922,0.9277777819027778,1,0.4444444444444444,0.962962962962963,0.7314814814814814,0.647828800250572,2,0.7327586206896551
"MHL",0,0,0,0.3037037037037037,0,0,0,0.10833333437500002,0,0,0,0.21296296296296297,0.05208333342013889,9,0.034482758620689655
